MAL_ID,Studios
366,Studio Fantasia
367,Gallop
368,Milky Animation Label
369,Madhouse
370,Magic Bus
371,Madhouse
372,Madhouse
373,Studio Fantasia
373,animate Film
374,Production Reed
375,Production Reed
376,Arms
377,Actas
377,Production Reed
378,Actas
379,J.C.Staff
380,Studio Pierrot
381,Studio Pierrot
382,Chaos Project
383,Madhouse
384,Gonzo
385,Group TAC
385,Japan Vistec
386,Production Reed
387,Radix
388,Studio Comet
389,Tatsunoko Production
390,Studio Comet
391,Actas
392,Studio Pierrot
393,Bones
393,Sunrise
394,J.C.Staff
395,Gonzo
396,Sunrise
397,Sunrise
398,Sunrise
399,Sunrise
400,Sunrise
401,Studio Deen
402,Madhouse
403,Daume
404,AIC
405,Production I.G
406,TMS Entertainment
407,Studio Pierrot
408,Madhouse
411,AIC ASTA
412,Gainax
412,Shaft
413,WAO World
415,Studio Ghibli
416,Studio Ghibli
417,G&G Entertainment
418,Unknown
419,Studio Deen
420,Studio 4°C
421,Studio Fantasia
422,Studio Fantasia
423,Studio Fantasia
424,Sunrise
425,Nippon Animation
426,Madhouse
427,Gonzo
427,Production I.G
428,Gonzo
429,Gonzo
430,Bones
431,Studio Ghibli
432,Ashi Production
433,CoMix Wave Films
434,AIC
435,Tokyo Movie Shinsha
437,Madhouse
438,Arcs Create
439,animate Film
440,J.C.Staff
441,J.C.Staff
442,Studio Pierrot
443,Daume
444,Studio Deen
445,Production I.G
445,Xebec
446,ufotable
447,Plum
447,Magic Bus
448,Madhouse
449,Sunrise
450,Sunrise
451,Sunrise
452,Kyoto Animation
452,Sunrise
454,Bee Train
455,Nippon Animation
456,J.C.Staff
457,Artland
458,OLM
459,Toei Animation
460,Toei Animation
461,Toei Animation
462,Toei Animation
463,Toei Animation
464,Toei Animation
465,Toei Animation
466,Production I.G
467,Production I.G
468,Production I.G
469,J.C.Staff
470,Madhouse
471,OLM
472,OLM
473,Telecom Animation Film
474,Triangle Staff
475,Sunrise
476,Karaku
477,Hal Film Maker
478,Satelight
478,Production Reed
479,Studio Deen
481,Gallop
482,Gallop
483,Bones
484,Studio Pierrot
485,Magic Bus
486,A.C.G.T.
487,AIC Spirits
488,Daume
489,Brain's Base
490,Shaft
492,AIC
493,AIC
495,Xebec
496,Madhouse
497,Studio Deen
498,AIC
499,Madhouse
501,Unknown
502,Toei Animation
503,Unknown
504,Unknown
505,Hal Film Maker
506,Eiken
507,Plum
508,TMS Entertainment
509,TNK
510,Arms
511,Trinet Entertainment
512,Studio Ghibli
513,Studio Ghibli
514,Daume
515,Triangle Staff
516,Sunrise
517,Studio Comet
518,Production Reed
519,J.C.Staff
520,Unknown
521,Actas
521,SynergySP
522,Madhouse
523,Studio Ghibli
524,Daume
525,Production I.G
526,Production I.G
527,OLM
528,OLM
529,Gonzo
530,Toei Animation
531,Toei Animation
532,Toei Animation
533,J.C.Staff
534,E&G Films
535,E&G Films
536,J.C.Staff
537,Studio Deen
538,AIC
539,AIC
540,AIC
541,AIC
543,Madhouse
544,Triangle Staff
545,TNK
546,Radix
547,Unknown
548,Unknown
550,Toei Animation
551,Group TAC
552,Toei Animation
553,J.C.Staff
554,OLM
554,Production Reed
555,OLM
556,OLM
557,OLM
558,Studio Hibari
559,Bones
560,Production I.G
560,Xebec
561,Madhouse
562,Radix
563,Madhouse
563,Studio Deen
564,J.C.Staff
565,Studio 4°C
565,Sunrise
566,Madhouse
567,Sunrise
568,AIC
569,Tatsunoko Production
570,Production I.G
571,AIC
572,Topcraft
573,Studio Junio
574,Sunrise
576,Tokyo Kids
577,Trinet Entertainment
577,Picture Magic
578,Studio Ghibli
579,AIC
580,Studio Pierrot
581,Studio Fantasia
582,Magic Bus
584,Satelight
585,Studio Ghibli
586,Toei Animation
587,Group TAC
588,TNK
589,Toei Animation
590,Group TAC
591,Studio Deen
592,TMS Entertainment
593,Sunrise
594,Studio Pierrot
595,Madhouse
596,Madhouse
597,Studio Ghibli
598,Radix
599,Madhouse
600,Radix
600,Marine Entertainment
601,J.C.Staff
602,Gainax
603,Toei Animation
604,Studio Pierrot
605,Studio Pierrot
606,Madhouse
607,Madhouse
608,Production I.G
609,Studio Fantasia
610,Shaft
611,Unknown
612,Xebec
613,Sunrise
614,J.C.Staff
615,Kyoto Animation
615,Tatsunoko Production
616,Gallop
617,Madhouse
618,Madhouse
619,Studio Junio
620,TMS Entertainment
621,AIC
622,Unknown
623,A.C.G.T.
624,Studio Deen
624,Studio Hibari
624,Production Reed
625,Unknown
626,Toei Animation
627,Studio Hibari
629,Production Reed
630,Madhouse
630,Production Reed
631,Gainax
631,Shaft
632,Gainax
632,Shaft
633,KSS
634,A.C.G.T.
635,Madhouse
636,Madhouse
637,J.C.Staff
641,Madhouse
642,Madhouse
644,J.C.Staff
645,Studio Pierrot
646,Studio Deen
647,Zexcs
648,Unknown
649,Daume
650,OLM
651,Studio Matrix
652,Madhouse
653,Madhouse
654,Unknown
655,Madhouse
655,feel.
656,Kyoto Animation
658,Madhouse
659,J.C.Staff
660,Toei Animation
661,Unknown
664,Bones
665,APPP
666,APPP
667,Studio Hibari
668,Studio Flag
669,Palm Studio
670,Trinet Entertainment
670,Picture Magic
671,Unknown
673,Sunrise
675,Unknown
676,Pink Pineapple
677,Sunrise
678,Studio Deen
679,Zero-G Room
681,AIC Spirits
682,Tokyo Kids
683,Unknown
684,Unknown
685,OLM
685,AIC ASTA
686,AIC ASTA
687,Studio Pierrot
688,Hal Film Maker
689,Hal Film Maker
690,AIC
691,Madhouse
692,Unknown
693,AIC
694,Zexcs
695,Unknown
696,AIC
704,Toei Animation
705,Imagin
705,Studio Live
706,Radix
706,Chaos Project
707,OLM
708,Telecom Animation Film
709,Madhouse
709,Telecom Animation Film
710,Shaft
711,Unknown
712,Shogakukan Music & Digital Entertainment
713,Toei Animation
714,Unknown
715,J.C.Staff
718,J.C.Staff
719,AIC
721,Hal Film Maker
722,Unknown
723,Toei Animation
724,Unknown
725,Unknown
727,Toei Animation
729,Group TAC
730,Unknown
731,Toei Animation
732,Production Reed
733,Unknown
734,Zexcs
736,J.C.Staff
738,SynergySP
740,Toei Animation
741,Ajia-Do
743,J.C.Staff
743,Studio Ghibli
744,AIC
746,TNK
747,Trinet Entertainment
748,Unknown
749,Unknown
750,Studio Deen
751,Studio Deen
752,J.C.Staff
753,Unknown
754,TMS Entertainment
755,Unknown
756,Unknown
757,Brain's Base
758,Bones
759,Madhouse
760,Madhouse
761,Studio Pierrot
762,Studio Pierrot
763,Xebec
764,Xebec
765,Imagin
765,Studio Live
766,Group TAC
766,View Works
767,AIC
769,AIC
770,Studio Rikka
771,Bee Train
773,Studio Pierrot
776,J.C.Staff
777,Madhouse
777,Satelight
777,Graphinica
779,TMS Entertainment
780,TMS Entertainment
781,TMS Entertainment
782,Sunrise
783,Group TAC
785,Gainax
786,Creators Dot Com
788,J.C.Staff
789,Group TAC
789,Ginga Ya
790,Manglobe
791,Sunrise
792,Unknown
793,Production I.G
795,Tezuka Productions
796,Nippon Animation
797,Daume
798,J.C.Staff
799,Studio Deen
800,Triangle Staff
801,Production I.G
807,Production I.G
808,Xebec
808,Production Reed
810,Group TAC
810,Animaruya
811,Studio Pierrot
811,Arms
812,Satelight
813,Toei Animation
814,Trans Arts
815,Production I.G
816,Radix
817,Actas
818,Shaft
819,Vega Entertainment
820,Artland
820,Magic Bus
821,Pastel
822,Pastel
823,Unknown
824,Unknown
825,Production I.G
827,Y.O.U.C
828,Unknown
830,Shinkuukan
831,J.C.Staff
832,Plum
833,Gonzo
834,Studio Pierrot
835,Zexcs
836,Zexcs
837,Shinkuukan
838,Planet
839,Ajia-Do
840,Studio Live
841,Triangle Staff
841,Studio Wombat
842,Pastel
844,Toei Animation
845,Madhouse
846,Studio Comet
848,feel.
849,Kyoto Animation
850,Tokyo Kids
851,Studio Pierrot
852,Toei Animation
853,Bones
854,Picture Magic
855,Madhouse
855,Imagin
856,OLM
857,Toei Animation
858,Brain's Base
859,Toei Animation
860,OLM
861,Production I.G
863,Arms
864,Sunrise
865,Sunrise
866,Hal Film Maker
867,J.C.Staff
868,J.C.Staff
869,J.C.Staff
870,Production I.G
872,Studio 4°C
873,Bee Train
874,Toei Animation
875,Studio 4°C
876,Studio Hibari
876,Production Reed
877,Madhouse
878,Sunrise
879,Studio Deen
880,AIC
881,Unknown
882,Studio Pierrot
883,Studio Pierrot
884,OLM Digital
885,Studio Deen
886,Studio Deen
887,Unknown
888,Xebec
889,Madhouse
890,Sunrise
891,Toei Animation
892,Toei Animation
893,Toei Animation
894,Toei Animation
895,Toei Animation
896,Toei Animation
897,Toei Animation
898,Toei Animation
899,Toei Animation
900,Toei Animation
901,Toei Animation
902,Toei Animation
903,Toei Animation
904,Toei Animation
905,Toei Animation
906,Toei Animation
907,Studio Deen
908,Bones
909,Satelight
910,Arms
911,Toei Animation
912,Studio Pierrot
913,TMS Entertainment
914,Studio Hibari
915,Studio Deen
916,AIC Spirits
916,Group TAC
917,AIC
917,Artmic
918,Sunrise
919,OLM
920,Kyoto Animation
920,Tatsunoko Production
921,Tatsunoko Production
924,Toei Animation
925,Toei Animation
926,Toei Animation
927,Actas
928,Gonzo
929,Sunrise
930,Sunrise
932,Daume
933,Diomedéa
934,Studio Deen
935,Gonzo
936,Studio Pierrot
937,Gainax
938,Brain's Base
940,Seven Arcs
941,Remic
942,Hal Film Maker
943,Madhouse
944,Xebec
949,Gainax
950,APPP
951,Nippon Animation
952,Madhouse
952,TNK
953,Bones
956,Toei Animation
957,Madhouse
958,Satelight
959,Nippon Animation
960,Nippon Animation
961,Tokyo Movie Shinsha
962,Hal Film Maker
963,Unknown
964,Imagin
964,Studio Live
965,Studio Hibari
966,Shin-Ei Animation
967,Toei Animation
968,TMS Entertainment
969,Bee Train
970,Enoki Films
970,Dai Nippon Printing
971,Tezuka Productions
972,Studio Jam
973,Gonzo
973,Satelight
974,Production I.G
975,Ajia-Do
976,Ajia-Do
977,Phoenix Entertainment
978,Brain's Base
979,Plum
980,Xebec
981,Madhouse
982,TNK
983,TNK
984,Toei Animation
985,Toei Animation
986,Toei Animation
987,Toei Animation
988,Group TAC
988,G&G Entertainment
989,T.P.O
990,Toei Animation
991,Unknown
992,AIC
993,AIC
994,Mook Animation
995,M.S.C
996,Toei Animation
997,Toei Animation
997,Production Reed
998,Production I.G
998,Production Reed
999,Production I.G
1000,Toei Animation
1001,Telecom Animation Film
1002,Gainax
1003,Unknown
1004,Unknown
1005,Studio Deen
1006,AIC
1007,Studio Deen
1007,Kitty Films
1008,Gainax
1008,Studio Deen
1009,Unknown
1010,Studio Deen
1011,Sunrise
1012,Magic Bus
1013,Production I.G
1014,J.C.Staff
1015,Kyoto Animation
1016,Madhouse
1017,J.C.Staff
1018,J.C.Staff
1019,Madhouse
1020,Madhouse
1021,Studio Hibari
1022,Tatsunoko Production
1023,Bones
1024,Triangle Staff
1024,animate Film
1025,AIC
1025,APPP
1026,Studio Pierrot
1027,Triangle Staff
1028,Studio 4°C
1029,Studio Ghibli
1030,Studio Ghibli
1031,Studio 4°C
1032,Studio Pierrot
1033,Madhouse
1034,Gainax
1035,Magic Bus
1036,Unknown
1037,Unknown
1038,Arms
1039,OLM
1040,Nippon Animation
1041,Madhouse
1042,Production I.G
1043,Madhouse
1044,Toei Animation
1045,Group TAC
1045,Amuse
1046,Group TAC
1047,Studio Ghibli
1048,Tatsunoko Production
1049,Oh! Production
1050,Toei Animation
1051,Gonzo
1052,Zexcs
1053,Unknown
1055,Group TAC
1056,Production I.G
1057,Group TAC
1058,Unknown
1059,Unknown
1060,Gainax
1062,Unknown
1064,Brain's Base
1065,Gallop
1065,Group TAC
1065,Studio Junio
1066,J.C.Staff
1067,View Works
1068,Sunrise
1068,Toei Animation
1069,Sunrise
1069,Toei Animation
1070,Radix
1071,Doga Kobo
1072,Studio 4°C
1074,Studio Pierrot
1075,Studio Hibari
1076,TMS Entertainment
1078,Madhouse
1079,AIC
1080,Gonzo
1081,Madhouse
1082,J.C.Staff
1083,A.C.G.T.
1084,Studio Pierrot
1085,Toei Animation
1086,Bones
1087,Studio Pierrot
1088,Tatsunoko Production
1089,Artland
