MAL_ID,Licensors
243,Nozomi Entertainment
244,Unknown
245,Discotek Media
245,Tokyopop
246,Tokyopop
247,Bandai Visual USA
248,Unknown
249,VIZ Media
250,VIZ Media
250,Flatiron Film Company
251,Discotek Media
252,ADV Films
253,Funimation
254,Funimation
255,Unknown
256,ADV Films
257,Funimation
257,Geneon Entertainment USA
258,Unknown
259,Unknown
260,ADV Films
261,Unknown
262,Unknown
263,Discotek Media
263,Geneon Entertainment USA
264,Discotek Media
264,Geneon Entertainment USA
265,Discotek Media
266,Media Blasters
266,Maiden Japan
267,Funimation
267,Geneon Entertainment USA
268,ADV Films
268,Media Blasters
268,Discotek Media
269,VIZ Media
270,Funimation
270,Geneon Entertainment USA
271,Funimation
271,Geneon Entertainment USA
272,ADV Films
272,Funimation
273,Sentai Filmworks
273,Geneon Entertainment USA
274,Funimation
275,Maiden Japan
276,Sentai Filmworks
276,Geneon Entertainment USA
277,Sentai Filmworks
277,Geneon Entertainment USA
278,Geneon Entertainment USA
279,Discotek Media
279,Geneon Entertainment USA
280,Unknown
281,Unknown
282,Unknown
283,Unknown
284,ADV Films
285,Bandai Entertainment
285,Sentai Filmworks
286,Anime Midstream
287,Funimation
288,Nelvana
288,Discotek Media
289,Nozomi Entertainment
289,Discotek Media
290,Funimation
290,Bandai Entertainment
291,Unknown
292,Bandai Entertainment
293,Sentai Filmworks
293,Synch-Point
294,ADV Films
294,Sentai Filmworks
295,ADV Films
295,Sentai Filmworks
296,Bandai Entertainment
297,Media Blasters
298,Funimation
298,Bandai Entertainment
299,Bandai Entertainment
300,Geneon Entertainment USA
301,Discotek Media
302,Unknown
303,Geneon Entertainment USA
304,Geneon Entertainment USA
305,ADV Films
306,ADV Films
307,Unknown
308,Unknown
309,Unknown
310,Unknown
311,Unknown
312,Unknown
313,Unknown
314,Unknown
315,VIZ Media
316,Media Blasters
316,SoftCel Pictures
317,Sony Pictures Entertainment
318,Geneon Entertainment USA
319,Unknown
320,Media Blasters
321,ADV Films
322,Geneon Entertainment USA
323,Funimation
323,Geneon Entertainment USA
324,Central Park Media
324,Maiden Japan
325,Funimation
326,Sentai Filmworks
326,Urban Vision
327,ADV Films
328,Nozomi Entertainment
329,Bandai Entertainment
330,Media Blasters
330,NYAV Post
331,Unknown
332,Unknown
333,Unknown
334,Discotek Media
334,Tokyopop
335,ADV Films
335,Sentai Filmworks
336,Unknown
337,Tokyopop
338,Nozomi Entertainment
338,Discotek Media
339,Funimation
339,Geneon Entertainment USA
340,Media Blasters
341,Funimation
342,Geneon Entertainment USA
343,Funimation
344,Unknown
345,Nozomi Entertainment
346,Unknown
347,ADV Films
348,Geneon Entertainment USA
349,Discotek Media
350,4Kids Entertainment
351,Unknown
352,Unknown
353,Unknown
354,Media Blasters
355,Funimation
355,Geneon Entertainment USA
356,Sentai Filmworks
356,Geneon Entertainment USA
357,Media Blasters
357,Discotek Media
358,Unknown
359,Media Blasters
360,Central Park Media
361,Unknown
362,Unknown
363,Unknown
364,Unknown
365,Media Blasters
366,Bandai Entertainment
366,Central Park Media
367,Unknown
368,Media Blasters
369,Nozomi Entertainment
370,ADV Films
371,Nelvana
371,Discotek Media
371,Geneon Entertainment USA
372,Nelvana
372,Discotek Media
372,Geneon Entertainment USA
373,ADV Films
373,Discotek Media
374,ADV Films
374,Discotek Media
375,ADV Films
375,Discotek Media
376,ADV Films
377,Media Blasters
378,Geneon Entertainment USA
379,ADV Films
379,Funimation
380,Media Blasters
380,Geneon Entertainment USA
381,Media Blasters
381,Geneon Entertainment USA
382,Media Blasters
383,Nozomi Entertainment
383,Bandai Entertainment
384,ADV Films
384,Funimation
385,ADV Films
386,Unknown
387,Funimation
387,Geneon Entertainment USA
388,Unknown
389,Manga Entertainment
390,Funimation
391,Geneon Entertainment USA
392,Funimation
393,Funimation
393,Bandai Entertainment
394,Funimation
394,Geneon Entertainment USA
395,ADV Films
395,Funimation
396,Funimation
396,Bandai Entertainment
397,Funimation
397,Bandai Entertainment
398,Funimation
399,Unknown
400,Funimation
400,Bandai Entertainment
401,ADV Films
401,Aniplex of America
402,Unknown
403,Unknown
404,Geneon Entertainment USA
405,Manga Entertainment
406,Unknown
407,Unknown
408,Unknown
411,Funimation
411,Geneon Entertainment USA
412,Sentai Filmworks
413,Unknown
415,Walt Disney Studios
415,GKIDS
416,Walt Disney Studios
416,GKIDS
417,Funimation
418,VIZ Media
419,Media Blasters
419,NYAV Post
420,ADV Films
421,Bandai Entertainment
422,Bandai Entertainment
423,Unknown
424,Nozomi Entertainment
425,Unknown
426,Urban Vision
427,ADV Films
427,Funimation
428,ADV Films
428,Funimation
429,Funimation
430,Funimation
431,Walt Disney Studios
432,Media Blasters
432,Central Park Media
432,Discotek Media
433,ADV Films
434,Central Park Media
435,Media Blasters
435,Discotek Media
437,GKIDS
437,Manga Entertainment
438,Media Blasters
439,Central Park Media
440,Nozomi Entertainment
440,Central Park Media
441,Central Park Media
442,VIZ Media
443,Nozomi Entertainment
443,Bandai Entertainment
444,Nozomi Entertainment
445,Media Blasters
446,Media Blasters
447,Media Blasters
448,Discotek Media
448,Geneon Entertainment USA
449,VIZ Media
450,VIZ Media
451,VIZ Media
452,VIZ Media
454,Bandai Entertainment
455,Bandai Entertainment
456,ADV Films
457,Funimation
458,Nozomi Entertainment
459,Unknown
460,Unknown
461,Unknown
462,Unknown
463,Unknown
464,Unknown
465,Unknown
466,Unknown
467,Bandai Entertainment
467,Manga Entertainment
468,Funimation
468,Bandai Entertainment
469,Funimation
469,Geneon Entertainment USA
470,Unknown
471,Maiden Japan
472,Nozomi Entertainment
473,Bandai Entertainment
474,Manga Entertainment
475,Unknown
476,Unknown
477,Nozomi Entertainment
478,Funimation
479,Discotek Media
479,Geneon Entertainment USA
481,4Kids Entertainment
481,Flatiron Film Company
482,4Kids Entertainment
482,Flatiron Film Company
483,ADV Films
483,Funimation
484,ADV Films
484,Sentai Filmworks
485,Unknown
486,ADV Films
486,Sentai Filmworks
487,Funimation
487,Geneon Entertainment USA
488,Sentai Filmworks
488,Geneon Entertainment USA
489,Funimation
489,Geneon Entertainment USA
490,ADV Films
490,Funimation
492,Funimation
492,Geneon Entertainment USA
493,Funimation
493,Geneon Entertainment USA
495,ADV Films
495,Discotek Media
496,Unknown
497,Media Blasters
498,VIZ Media
499,Central Park Media
499,Discotek Media
501,Unknown
502,Funimation
503,Unknown
504,VIZ Media
504,Discotek Media
505,Unknown
506,Maiden Japan
507,Nozomi Entertainment
508,VIZ Media
509,Geneon Entertainment USA
510,Unknown
511,ADV Films
511,Funimation
512,Walt Disney Studios
512,GKIDS
513,Walt Disney Studios
513,GKIDS
514,Sentai Filmworks
514,Geneon Entertainment USA
515,Unknown
516,ADV Films
516,Funimation
517,Funimation
518,Unknown
519,Unknown
520,Discotek Media
520,Tokyopop
521,ADV Films
522,Sony Pictures Entertainment
523,Walt Disney Studios
523,GKIDS
524,Nozomi Entertainment
524,Bandai Entertainment
525,Media Blasters
526,VIZ Media
527,VIZ Media
527,4Kids Entertainment
528,4Kids Entertainment
528,Warner Bros. Pictures
529,VIZ Media
529,Sentai Filmworks
530,ADV Films
530,VIZ Media
530,DiC Entertainment
531,VIZ Media
532,VIZ Media
532,Geneon Entertainment USA
533,Unknown
534,Funimation
534,Central Park Media
534,Enoki Films
535,Funimation
535,Central Park Media
535,Enoki Films
536,ADV Films
537,ADV Films
538,Funimation
538,Geneon Entertainment USA
539,Funimation
539,Geneon Entertainment USA
540,Funimation
540,Geneon Entertainment USA
541,Funimation
543,Discotek Media
543,Urban Vision
544,Central Park Media
544,Discotek Media
545,ADV Films
545,Maiden Japan
546,Unknown
547,Unknown
548,Unknown
550,Unknown
551,Funimation
552,Saban Entertainment
552,Flatiron Film Company
553,Central Park Media
553,Discotek Media
554,ADV Films
555,ADV Films
556,Unknown
557,ADV Films
558,Unknown
559,Unknown
560,Unknown
561,ADV Films
561,Sentai Filmworks
562,Unknown
563,Central Park Media
563,Discotek Media
564,ADV Films
565,Sony Pictures Entertainment
566,Central Park Media
567,Bandai Entertainment
567,Sentai Filmworks
568,ADV Films
568,Funimation
569,Nozomi Entertainment
570,Bandai Entertainment
570,Discotek Media
571,Geneon Entertainment USA
572,Walt Disney Studios
572,GKIDS
573,Bandai Entertainment
574,Bandai Entertainment
574,Bandai Visual USA
576,ADV Films
576,Funimation
577,Discotek Media
578,ADV Films
578,Central Park Media
578,Sentai Filmworks
579,Maiden Japan
580,Unknown
581,Central Park Media
582,Unknown
584,Funimation
584,Manga Entertainment
585,Walt Disney Studios
585,GKIDS
586,Discotek Media
586,Geneon Entertainment USA
587,Nozomi Entertainment
587,Crimson Star Media
588,Funimation
589,Unknown
590,Sentai Filmworks
591,Nozomi Entertainment
591,Media Blasters
592,Unknown
593,Bandai Entertainment
593,Sentai Filmworks
594,VIZ Media
595,Funimation
595,Geneon Entertainment USA
596,Funimation
596,Geneon Entertainment USA
597,Walt Disney Studios
597,GKIDS
598,Bandai Entertainment
599,Unknown
600,Unknown
601,Central Park Media
602,Nozomi Entertainment
603,4Kids Entertainment
604,Bandai Entertainment
605,Synch-Point
606,Bandai Entertainment
607,Unknown
608,Funimation
608,Geneon Entertainment USA
609,VIZ Media
610,Sentai Filmworks
610,Geneon Entertainment USA
611,Unknown
612,Unknown
613,Unknown
614,Unknown
615,ADV Films
616,Unknown
617,Sentai Filmworks
617,Manga Entertainment
618,Discotek Media
618,Urban Vision
619,Unknown
620,Geneon Entertainment USA
621,Central Park Media
621,Discotek Media
622,Unknown
623,Media Blasters
623,NYAV Post
624,Media Blasters
625,Unknown
626,Unknown
627,Unknown
629,Media Blasters
629,NYAV Post
630,Nozomi Entertainment
630,Media Blasters
630,NYAV Post
631,Sentai Filmworks
631,Geneon Entertainment USA
632,Unknown
633,Unknown
634,Geneon Entertainment USA
635,Bandai Entertainment
635,Media Blasters
636,Geneon Entertainment USA
637,Unknown
641,Unknown
642,Unknown
644,VIZ Media
645,Unknown
646,Bandai Entertainment
647,Unknown
648,Unknown
649,Sentai Filmworks
649,Geneon Entertainment USA
650,ADV Films
650,AnimEigo
651,Unknown
652,Nozomi Entertainment
652,Bandai Entertainment
653,Nozomi Entertainment
653,Bandai Entertainment
654,Nozomi Entertainment
654,Bandai Entertainment
655,Bandai Entertainment
656,ADV Films
656,Funimation
658,Unknown
659,ADV Films
660,Unknown
661,Unknown
664,Unknown
665,Super Techno Arts
666,Super Techno Arts
667,Media Blasters
668,Discotek Media
669,Media Blasters
670,Unknown
671,Unknown
673,Bandai Entertainment
675,Unknown
676,Unknown
677,Media Blasters
678,ADV Films
678,Manga Entertainment
679,Manga Entertainment
681,Unknown
682,Bandai Entertainment
683,Unknown
684,Unknown
685,Unknown
686,Unknown
687,4Kids Entertainment
688,Sentai Filmworks
689,Sentai Filmworks
690,Tokyopop
690,Maiden Japan
691,AnimEigo
692,Kitty Media
693,Geneon Entertainment USA
694,Unknown
695,Unknown
696,Funimation
696,Geneon Entertainment USA
704,Unknown
705,Unknown
706,ADV Films
706,Funimation
707,Nozomi Entertainment
707,Discotek Media
