,MAL_ID,Producers
280,132,TBS
281,132,Kodansha
282,132,Rondo Robe
283,132,Rakuonsha
284,133,Pony Canyon
285,133,Memory-Tech
286,133,Studio Jack
287,134,Marvelous
288,134,Fuji TV
289,135,TV Tokyo
290,135,Dentsu
291,135,Dream Force
292,136,Fuji TV
293,137,Unknown
294,138,Unknown
295,139,Unknown
296,141,TV Asahi
297,141,GANSIS
298,142,Unknown
299,143,Studio Fantasia
300,143,Geneon Universal Entertainment
301,143,Remic
302,143,Front Line
303,143,Kodansha
304,143,Rondo Robe
305,143,Memory-Tech
306,143,Toshiba Entertainment
307,144,Movic
308,144,Fuji TV
309,144,Fujipacific Music
310,145,TV Tokyo
311,145,GANSIS
312,146,Geneon Universal Entertainment
313,146,TBS
314,146,Rondo Robe
315,146,Movic
316,147,Lantis
317,147,Media Factory
318,147,Age
319,148,Unknown
320,149,Bandai Visual
321,149,TV Asahi
322,149,Movic
323,150,Aniplex
324,150,Mainichi Broadcasting System
325,151,Toei Video
326,152,AIC
327,152,TV Asahi
328,152,Sotsu Music Publishing
329,153,Sogo Vision
330,154,TV Tokyo
331,154,Nihon Ad Systems
332,154,TV Tokyo Music
333,155,Kadokawa Shoten
334,155,Victor Entertainment
335,155,Marubeni
336,155,Movic
337,155,Sega
338,155,Shelty
339,156,Bandai Visual
340,156,Kadokawa Shoten
341,156,d-rights
342,156,chara-ani.com
343,157,Starchild Records
344,158,Rondo Robe
345,158,TV Tokyo Music
346,159,Kadokawa Shoten
347,159,TBS
348,159,KENMedia
349,160,Victor Entertainment
350,160,Pioneer LDC
351,160,Rakuonsha
352,161,GDH
353,161,TV Asahi
354,161,Imagica
355,162,Broccoli
356,163,Avex Entertainment
357,164,Tokuma Shoten
358,164,Nippon Television Network
359,165,Asatsu DK
360,165,Fuji TV
361,166,GDH
362,166,Sotsu Music Publishing
363,167,Kadokawa Shoten
364,167,A-Line
365,168,Yomiko Advertising
366,169,TBS
367,169,Rondo Robe
368,169,Movic
369,170,TV Asahi
370,170,Animax
371,171,Unknown
372,173,Studio Izena
373,173,MediaNet
374,174,TV Asahi
375,175,TV Tokyo Music
376,176,Discovery
377,177,NHK
378,177,Kodansha
379,178,WAO World
380,178,Studio Jack
381,179,Unknown
382,180,GDH
383,180,Dentsu
384,180,Media Factory
385,181,GDH
386,181,Dentsu
387,181,Media Factory
388,182,TV Tokyo
389,182,Bandai Visual
390,183,Marvelous
391,184,Happinet Pictures
392,185,OB Planning
393,185,Fuji TV
394,186,OB Planning
395,186,Fuji TV
396,187,OB Planning
397,188,AIC
398,188,Green Bunny
399,188,BEAM Entertainment
400,189,Production I.G
401,189,TV Tokyo
402,189,Yomiko Advertising
403,190,Starchild Records
404,190,Audio Tanaka
405,191,Yomiko Advertising
406,192,Yomiko Advertising
407,193,Kadokawa Shoten
408,193,KlockWorx
409,193,Happinet Pictures
410,193,Sony PCL
411,194,Bandai Visual
412,195,Bandai Visual
413,195,Genco
414,196,Bandai Visual
415,196,Genco
416,196,Lantis
417,197,m.o.e.
418,198,TV Asahi
419,198,WAO World
420,198,TAP
421,199,Toho
422,200,Unknown
423,201,Shueisha
424,202,Bandai Visual
425,202,Asatsu DK
426,202,Fuji TV
427,203,Green Bunny
428,204,Unknown
429,205,Victor Entertainment
430,205,Fuji TV
431,205,Barnum Studio
432,205,Tokuma Shoten
433,205,flying DOG
434,206,Kadokawa Shoten
435,206,Yomiko Advertising
436,206,Marubeni
437,207,Kadokawa Shoten
438,207,TBS
439,207,Marubeni
440,208,Aniplex
441,208,SME Visual Works
442,209,Aniplex
443,209,Studio Deen
444,209,Broccoli
445,209,Sony Music Entertainment
446,210,Shogakukan-Shueisha Productions
447,210,Kitty Films
448,210,Fuji TV
449,210,Shogakukan
450,211,Pink Pineapple
451,211,Green Bunny
452,212,Soeishinsha
453,213,NuTech Digital
454,214,Pink Pineapple
455,215,Unknown
456,216,Geneon Universal Entertainment
457,216,I-move
458,217,Pink Pineapple
459,217,Studio Tulip
460,218,Starchild Records
461,218,Yomiko Advertising
462,218,Audio Tanaka
463,219,TV Tokyo
464,219,Starchild Records
465,219,Kadokawa Shoten
466,219,Toei Video
467,219,Movic
468,219,Sega
469,219,King Records
470,219,Audio Tanaka
471,220,Discovery
472,221,Green Bunny
473,222,Studio Pierrot
474,222,Shochiku
475,222,Memory-Tech
476,222,Happinet Pictures
477,223,Fuji TV
478,225,Fuji TV
479,226,VAP
480,226,Genco
481,227,Starchild Records
482,227,GANSIS
483,228,Aniplex
484,228,SKY Perfect Well Think
485,229,Toshiba Entertainment
486,229,Happinet Pictures
487,230,VAP
488,230,Nippon Television Network
489,231,Starchild Records
490,231,TV Tokyo Music
491,231,Shounen Gahousha
492,232,NHK
493,232,Kodansha
494,232,Sogo Vision
495,232,YTV
496,233,Unknown
497,234,TV Tokyo
498,234,HoriPro
499,235,Yomiuri Telecasting
500,235,Animax
501,235,YTV
502,235,TMS-Kyokuchi
503,235,Shogakukan
504,236,Sotsu
505,237,Aniplex
506,237,Bandai Visual
507,237,Kadokawa Shoten
508,237,Mainichi Broadcasting System
509,237,Bandai
510,237,Ashi Production
511,237,Sony Music Entertainment
512,237,Bandai Namco Games
513,237,Hakuhodo DY Media Partners
514,237,Bandai Channel
515,237,USEN
516,238,Fuji TV
517,239,GDH
518,239,TV Asahi
519,239,Media Factory
520,239,Sotsu Music Publishing
521,240,Genco
522,240,Lantis
523,240,Kids Station
524,240,Toshiba Entertainment
525,241,Lantis
526,241,Kadokawa Shoten
527,241,Fuji TV
528,241,Rakuonsha
529,241,KlockWorx
530,241,Happinet Pictures
531,241,Studio Jack
532,242,VAP
533,242,Studio Jack
534,243,Aniplex
535,244,Unknown
536,245,Aniplex
537,245,Fuji TV
538,246,TBS
539,246,Kodansha
540,247,Unknown
541,248,Shueisha
542,249,Yomiuri Telecasting
543,249,Shogakukan
544,250,Yomiko Advertising
545,250,Fuji TV
546,251,NHK
547,252,Victor Entertainment
548,253,Bandai Visual
549,253,Sotsu
550,254,Bandai Visual
551,255,Bandai Visual
552,256,Unknown
553,257,Genco
554,257,Cosmic Ray
555,257,Eye Move
556,257,Bushiroad
557,258,Group TAC
558,258,KENMedia
559,259,KSS
560,260,KSS
561,261,KSS
562,261,Studio Jack
563,262,KSS
564,263,VAP
565,264,Unknown
566,265,Unknown
567,266,Rondo Robe
568,266,d-rights
569,267,Tohokushinsha Film Corporation
570,268,KSS
571,268,Shueisha
572,269,TV Tokyo
573,269,Aniplex
574,269,Dentsu
575,269,TV Tokyo Music
576,269,Studio Kelmadick
577,269,Shueisha
578,270,Fuji TV
579,270,Pioneer LDC
580,271,Hal Film Maker
581,271,Media Factory
582,271,Imagica
583,271,Amber Film Works
584,271,Imagine
585,272,Victor Entertainment
586,273,Rondo Robe
587,273,Pioneer LDC
588,273,Daiei
589,274,gimik
590,275,m.o.e.
591,276,TBS
592,276,Pioneer LDC
593,277,Pioneer LDC
594,278,TV Tokyo
595,278,MediaNet
596,278,Capcom
597,279,Tokyo Movie Shinsha
598,279,RCC Chugoku Broadcasting
599,279,Toho
600,279,Tohokushinsha Film Corporation
601,280,TV Tokyo
602,280,Geneon Universal Entertainment
603,280,Dentsu
604,280,TV Tokyo Music
605,280,Dentsu Tec
606,281,Lantis
607,281,Age
608,282,Aniplex
609,283,Unknown
610,284,TV Asahi
611,285,Unknown
612,286,Tokyo Movie Shinsha
613,286,TMS-Kyokuchi
614,287,Free-Will
615,288,d-rights
616,288,Heewon Entertainment
617,289,KSS
618,290,Bandai Visual
619,290,WOWOW
620,291,Unknown
621,292,OB Planning
622,293,Broccoli
623,294,Media Factory
624,294,Imagica
625,294,KlockWorx
626,295,Imagica
627,295,KlockWorx
628,296,Bandai Visual
629,296,Nihon Ad Systems
630,296,TV Tokyo Music
631,297,Shochiku
632,297,Kadokawa Shoten
633,297,Toshiba Entertainment
634,298,Bandai Visual
635,298,Yomiko Advertising
636,299,Bandai Visual
637,299,Bandai
638,299,CyberConnect2
639,300,Bandai Visual
640,300,Kodansha
641,301,Unknown
642,302,Unknown
643,303,Bandai Visual
644,304,Bandai Visual
645,304,Pony Canyon
646,304,Kodansha
647,304,Movic
648,304,Sega
649,304,Imagine
650,305,Dynamic Planning
651,306,Dentsu
652,306,Starchild Records
653,306,Imagica
654,306,Rakuonsha
655,306,King Records
656,307,Unknown
657,308,Bandai Visual
658,308,Mellow Head
659,308,Genco
660,308,Ginga Ya
661,308,Trilogy Future Studio
662,309,Lantis
663,309,Kadokawa Shoten
664,309,Studio Jack
665,309,NBCUniversal Entertainment Japan
666,309,Audio Tanaka
667,309,On The Run
668,310,Unknown
669,311,Mainichi Broadcasting System
670,312,Tokyo Movie Shinsha
671,313,Unknown
672,314,Bandai Visual
673,314,Tokyo Movie Shinsha
674,314,Movic
675,315,Polygram Japan
676,315,Film Workshop
677,316,Pink Pineapple
678,316,Critical Mass Video
679,317,Unknown
680,318,Geneon Universal Entertainment
681,318,Pioneer LDC
682,318,Cosmic Ray
683,319,KSS
684,319,Soft Garage
685,320,Green Bunny
686,320,BEAM Entertainment
687,321,GDH
688,321,Media Factory
689,321,Nippon Columbia
690,322,Aniplex
691,322,Fuji TV
692,323,WOWOW
693,323,Asmik Ace
694,323,Tohokushinsha Film Corporation
695,324,Tohokushinsha Film Corporation
696,325,TV Tokyo
697,325,Marvelous
698,325,Studio Jack
699,326,Trans Arts
700,326,TBS
701,327,Unknown
702,328,animate Film
703,328,Kids Station
704,328,Pioneer LDC
705,329,Bandai Visual
706,329,NHK
707,330,Bandai Visual
708,330,Lantis
709,331,Dentsu
710,331,Asahi Broadcasting
711,332,TV Tokyo
712,332,Sotsu
713,333,Unknown
714,334,Asahi Broadcasting
715,335,TV Tokyo
716,335,Rakuonsha
717,336,Rondo Robe
718,337,Starchild Records
719,337,GANSIS
720,338,Nippon Television Network
721,339,TV Tokyo
722,339,Geneon Universal Entertainment
723,339,Genco
724,339,Pioneer LDC
725,339,TV Tokyo Music
726,339,Fujipacific Music
727,340,TV Tokyo
728,340,Sotsu
729,340,Marvelous
730,340,Media Factory
731,341,TV Tokyo
732,341,Aniplex
733,341,Sotsu
734,341,SME Visual Works
735,342,Geneon Universal Entertainment
736,343,Unknown
737,344,NHK
738,345,Pony Canyon
739,345,TBS
740,345,Toshiba Entertainment
741,345,Fuji Creative
742,346,Unknown
743,347,Aniplex
744,347,WOWOW
745,348,Hal Film Maker
746,348,Genco
747,348,Starchild Records
748,349,Unknown
749,350,Asahi Broadcasting
750,351,Asahi Broadcasting
751,352,Asahi Broadcasting
752,353,Asahi Broadcasting
753,354,m.o.e.
754,355,Geneon Universal Entertainment
755,355,ASCII Media Works
756,355,Toshiba Entertainment
757,355,Cosmic Ray
758,355,Showgate
759,356,Geneon Universal Entertainment
760,356,Frontier Works
761,356,TBS
762,356,KlockWorx
763,356,Notes
764,357,Geneon Universal Entertainment
765,357,Showgate
766,358,Happinet Pictures
767,359,Aniplex
768,359,SME Visual Works
769,360,Rakuonsha
770,360,Studio Jack
771,360,Amuse
772,360,Hakuhodo
773,360,Mitsubishi
774,360,Panasonic Digital Contents
775,361,E&G Films
776,362,Picture Magic
777,362,Rikuentai
778,363,Unknown
779,364,TV Tokyo
780,364,Aniplex
781,365,Unknown
782,366,Bandai Visual
783,367,Nihon Ad Systems
784,368,Active
785,369,VAP
786,369,d-rights
787,370,AIC
788,371,Bandai Visual
789,371,Shochiku
790,371,Shelty
791,372,Bandai Visual
792,372,Shochiku
793,372,Kodansha
794,372,Shelty
795,372,Amber Film Works
796,373,Starchild Records
797,373,Movic
798,374,Movic
799,375,Movic
800,376,VAP
801,377,Bandai Visual
802,377,Genco
803,378,Bandai Visual
804,378,Genco
805,379,Victor Entertainment
806,380,Bandai Visual
807,380,Movic
808,381,Unknown
809,382,Half H.P Studio
810,383,Bandai Visual
811,383,Broccoli
812,383,Studio Jack
813,384,Fuji TV
814,385,Kansai Telecasting
815,386,Asahi Broadcasting
816,387,Kadokawa Shoten
817,387,Fuji TV
818,387,Studio Tulip
819,388,TV Tokyo
820,388,Sotsu
821,388,Marvelous
822,388,Delfi Sound
823,389,Showgate
824,390,Marvelous
825,390,Starchild Records
826,390,Studio Jack
827,391,Geneon Universal Entertainment
828,391,Frontier Works
829,392,Yomiko Advertising
830,392,Fuji TV
831,393,Atelier Musa
832,394,Geneon Universal Entertainment
833,394,Rondo Robe
834,394,Movic
835,394,Cosmic Ray
836,395,Fuji TV
837,396,Bandai Visual
838,396,WOWOW
839,397,Bandai Visual
840,397,WOWOW
841,398,Bandai Visual
842,399,Bandai Visual
843,399,WOWOW
844,400,Sotsu
845,400,Victor Entertainment
846,401,SME Visual Works
847,402,Unknown
848,403,m.o.e.
849,404,Shueisha
850,405,Aniplex
851,405,Sony Interactive Entertainment
852,406,Unknown
853,407,Group TAC
854,407,Kodansha
855,408,Sony Pictures Entertainment
856,408,Square Enix
857,411,Studio Tulip
858,412,Geneon Universal Entertainment
859,412,TBS
860,412,DAX Production
861,412,Memory-Tech
862,413,Idea Factory
863,413,King Records
864,413,Design Factory
865,415,Tokuma Shoten
866,416,Tokuma Shoten
867,416,Nippon Television Network
868,417,Frontier Works
869,418,Fuji TV
870,419,Starchild Records
871,420,TBS
872,420,Nichion
873,421,Bandai Visual
874,422,Bandai Visual
875,423,Bandai Visual
876,424,Studio Nue
877,425,Movic
878,425,Tokuma Shoten
879,426,Square Enix
880,427,TV Tokyo
881,427,Hal Film Maker
882,427,G&G Entertainment
883,427,HoriPro
884,427,MediaNet
885,428,Hal Film Maker
886,429,Hal Film Maker
887,429,MediaNet
888,430,Aniplex
889,430,Square Enix
890,430,Shochiku
891,430,Mainichi Broadcasting System
892,431,d-rights
893,431,Tokuma Shoten
894,432,Bandai Visual
895,433,Unknown
896,434,81 Produce
897,435,Yomiuri Telecasting
898,437,Rex Entertainment
899,438,KSS
900,439,KSS
901,439,Movic
902,439,Sony Music Entertainment
903,440,TV Tokyo
904,440,Audio Tanaka
905,441,Audio Tanaka
906,442,Aniplex
907,442,Bandai
908,442,TV Tokyo Music
909,442,Shueisha
910,443,Bandai Visual
911,443,WOWOW
912,443,Lantis
913,444,Unknown
914,445,Unknown
915,446,animate Film
916,446,Kids Station
917,446,Movic
918,447,animate Film
919,447,Polygram Japan
920,448,Unknown
921,449,Unknown
922,450,Kyoto Animation
923,450,Production Reed
924,451,Kyoto Animation
925,452,Unknown
926,454,CyberConnect2
927,455,Unknown
928,456,Konami
929,457,Avex Entertainment
930,457,Marvelous
931,457,SKY Perfect Well Think
932,457,Delfi Sound
933,458,Pink Pineapple
934,458,Studio Jack
935,459,Unknown
936,460,Fujipacific Music
937,460,Shueisha
938,461,Fujipacific Music
939,462,Fujipacific Music
940,463,Unknown
941,464,Fuji TV
942,464,Fujipacific Music
943,465,Fujipacific Music
944,465,Shueisha
945,466,Unknown
946,467,Bandai Visual
947,467,Dentsu
948,467,Victor Entertainment
949,467,Animax
950,467,Kodansha
951,467,Trilogy Future Studio
952,467,Tokuma Shoten
953,467,Nippon Television Network
954,468,Bandai Visual
955,468,Dentsu
956,468,Kodansha
957,468,d-rights
958,468,Tokuma Shoten
959,468,Nippon Television Network
960,469,WOWOW
961,469,Frontier Works
962,469,Kadokawa Shoten
963,469,Half H.P Studio
964,470,Unknown
965,471,Unknown
966,472,KSS
967,473,Bandai Visual
968,473,TV Asahi
969,473,Lantis
970,474,Studio Nue
971,475,Unknown
972,476,Aniplex
973,477,TV Tokyo
974,477,Shochiku
975,477,Mag Garden
976,478,Media Factory
977,478,Bandai
978,478,Tohokushinsha Film Corporation
979,479,Shogakukan-Shueisha Productions
980,479,Funimation
981,479,Studio Izena
982,479,Studio Tulip
983,479,TV Tokyo Music
984,481,Nihon Ad Systems
985,482,TV Tokyo
986,482,Toei Animation
987,482,Nihon Ad Systems
988,483,TV Asahi
989,483,Media Factory
990,483,Victor Entertainment
991,484,Unknown
992,485,SKY Perfect Well Think
993,485,Kids Station
994,485,Takeshobo
995,486,WOWOW
996,486,Genco
997,486,Pony Canyon
998,486,Studio Wombat
999,486,chara-ani.com
1000,486,ASCII Media Works
1001,487,WOWOW
1002,487,Lantis
1003,487,Kadokawa Shoten
1004,487,Rakuonsha
1005,487,KlockWorx
1006,487,Happinet Pictures
1007,487,Studio Jack
1008,488,TBS
1009,488,Movic
1010,489,Aniplex
1011,490,Square Enix
1012,490,Starchild Records
1013,490,GANSIS
1014,492,Pioneer LDC
1015,493,Pioneer LDC
1016,495,Sotsu
1017,495,Movic
1018,495,TV Tokyo Music
1019,496,Kadokawa Shoten
